title,city_location,block_sector,bedroom,bathroom,sqrtFeet,price
Take This Residential Flat Is For Sale At Uttara Area Nearby Tanjimul Ummah Alim Madr...,3,72,3,4,2150,16.97251102166758
1802 SQ FT Apartment for Sale in Uttara nearby Police Station,3,17,3,3,1802,16.588099342704055
Ready To Move |2004 Sq Ft Apartment | Well Maintained In Uttara,3,17,3,4,2004,16.677711496036597
"Get This Well Defined 1913 Sq Ft Flat For Sale In Uttara, Sector 4",3,17,3,4,1913,16.796129244469636
"1575 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block L",2,40,3,3,1575,16.316946591670696
This 1517 Sq Ft Residential Apartment In Uttara Is Ideal For Selling Purposes And Is ...,3,31,3,3,1517,16.213405921671733
Take A Look At This 1890 Sq Ft Well Defined Flat Which Is Up For Sale In West Kazipar...,4,67,3,3,1890,16.811242881518265
1500 Sq Ft Ready Flat For Sale In Uttara-13,3,58,3,4,1500,16.41820031748273
"View This 1485 Sq Ft Apartment For Sale In Mohammadpur, Jahuri Moholla",7,73,3,3,1485,16.395727463314174
1485 Sq Ft Apartment With 3 Bedrooms For Sale In Mohammadpur,7,73,3,3,1485,16.395727463314174
1440 Sq Ft Residential Property For Sale In Bashundhara R- A Near Ncc Bank Limited,2,2,3,3,1440,16.380459992348886
Decent 1100 Sq Ft Residential Flat For Sale In Banasree,6,21,3,2,1100,15.882373444019521
For Selling Purpose This Flat Is Now Vacant In The Location Of South Monipur .,4,69,3,3,1400,15.656060350091908
"A 1160 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Section 1, Mirpur",4,9,3,3,1160,15.894952224644102
Buy This Flat At South Monipur For The Ideal Urban Lifestyle You Dream About.,4,69,2,2,1000,15.319588176962746
Worthy 1250 SQ FT Nice home is ready for sale at Mirpur 15,4,63,4,4,1250,16.341239282272525
"Offering You 1100 Sq Ft Nice Apartment For Sale In Ranavola, Sector 10, Uttara.",3,31,3,3,1100,15.520258832020865
"Strongly Constructed 1100 Sq Ft Home Is Available To Sale In Uttar Badda, Old Thana R...",8,55,3,3,1100,15.483217567201578
"This 1595 Sq Ft Apartment Is Ready For Sale In Baitul Aman Housing Society, Adabor",10,32,3,3,1595,16.234277494279066
2550 Sq Ft Amazing Apartment Is Ready To Sale In Dhanmondi,11,56,4,5,2550,17.341871111992198
A 950 Sq Ft Nice Apartment Is Up For Sale In Shekhertek Near Masjid Aat Takwah.,7,74,2,2,950,15.46416937585933
656 Square Feet Apartment Is Up For Sale At Rupnagar R/a,4,35,2,2,656,14.731801689838349
